prompt,draft_model,variable,value
0,6700,latency,10.50554037
0,6700,tar,0.4375
1,6700,latency,9.828249216
1,6700,tar,0.40625
2,6700,latency,7.343770027
2,6700,tar,0.583333333
3,6700,latency,8.562078238
3,6700,tar,0.464285714
4,6700,latency,8.631518841
4,6700,tar,0.464285714
5,6700,latency,13.60806727
5,6700,tar,0.204545455
6,6700,latency,10.04141641
6,6700,tar,0.375
7,6700,latency,7.359733582
7,6700,tar,0.666666667
8,6700,latency,6.172903061
8,6700,tar,0.9
9,6700,latency,7.226723909
9,6700,tar,0.583333333
10,6700,latency,8.693094492
10,6700,tar,0.535714286
11,6700,latency,7.368272543
11,6700,tar,0.625
12,6700,latency,9.93470335
12,6700,tar,0.375
13,6700,latency,10.03782296
13,6700,tar,0.5
14,6700,latency,7.538843632
14,6700,tar,0.666666667
15,6700,latency,6.20800066
15,6700,tar,0.75
16,6700,latency,8.669575453
16,6700,tar,0.5
17,6700,latency,9.976569891
17,6700,tar,0.46875
18,6700,latency,8.732936144
18,6700,tar,0.5
19,6700,latency,7.080153465
19,6700,tar,0.666666667
20,6700,latency,9.873790979
20,6700,tar,0.4375
21,6700,latency,8.682435513
21,6700,tar,0.5
22,6700,latency,11.39978814
22,6700,tar,0.305555556
23,6700,latency,9.972332716
23,6700,tar,0.4375
24,6700,latency,7.575427055
24,6700,tar,0.708333333
25,6700,latency,8.82572484
25,6700,tar,0.535714286
26,6700,latency,11.1607008
26,6700,tar,0.416666667
27,6700,latency,8.798035622
27,6700,tar,0.571428571
28,6700,latency,10.16138697
28,6700,tar,0.375
29,6700,latency,7.50888133
29,6700,tar,0.666666667
30,6700,latency,11.32069159
30,6700,tar,0.305555556
31,6700,latency,16.57715082
31,6700,tar,0.173076923
32,6700,latency,7.615020752
32,6700,tar,0.583333333
33,6700,latency,7.714719296
33,6700,tar,0.75
34,6700,latency,7.628922701
34,6700,tar,0.583333333
35,6700,latency,11.44460607
35,6700,tar,0.305555556
36,6700,latency,10.14729261
36,6700,tar,0.4375
37,6700,latency,8.884946823
37,6700,tar,0.535714286
38,6700,latency,8.830574989
38,6700,tar,0.607142857
39,6700,latency,11.44405937
39,6700,tar,0.305555556
40,6700,latency,7.483561516
40,6700,tar,0.583333333
41,6700,latency,12.67215037
41,6700,tar,0.25
42,6700,latency,7.613092184
42,6700,tar,0.583333333
43,6700,latency,10.06249547
43,6700,tar,0.40625
